station_name,lat,lon,province,source
DFSXB1554 (Tugu Tani),-6.18196,106.83417,JAKARTA,UDARA JKT
LCS13 SPKU Kelapa Gading,-6.153721,106.91094,JAKARTA,UDARA JKT
BAMS2 Kantor Walikota Jakarta Barat,-6.185896,106.737634,JAKARTA,UDARA JKT
DKI01 Bundaran HI,-6.195459,106.822731,JAKARTA,UDARA JKT
DKI02 Kelapa Gading,-6.154085,106.908249,JAKARTA,UDARA JKT
DKI03 Jagakarsa,-6.336216,106.818082,JAKARTA,UDARA JKT
DKI04 Lubang Buaya,-6.2908,106.908501,JAKARTA,UDARA JKT
DKI05 Kebun Jeruk,-6.192061,106.770606,JAKARTA,UDARA JKT
DKI07 Rusun Penjaringan,-6.129308,106.795757,JAKARTA,UDARA JKT
DKI08 PPOP Ragunan,-6.304421,106.82892,JAKARTA,UDARA JKT
DKI09 GOR Ciracas,-6.324783,106.86687,JAKARTA,UDARA JKT
DKI10 Kebon Bibit Cilangkap,-6.341755, 106.901557,JAKARTA,UDARA JKT
DKI11 Jakarta Equestrian Pulomas,-6.178465,106.887179,JAKARTA,UDARA JKT
DKI12 GOR Cendrawasih,-6.143302,106.72061,JAKARTA,UDARA JKT
DKI15 Sudin LH Pusat,-6.185622,106.873566,JAKARTA,UDARA JKT
DKI16 Ancol,-6.122443,106.83765,JAKARTA,UDARA JKT
DKI17 SDN 07 Kramat Pela,-6.244491,106.790577,JAKARTA,UDARA JKT
DKI18 Lebak Bulus,-6.301071,106.789206,JAKARTA,UDARA JKT
DKI19 Pondok Rangon,-6.341538,106.91799,JAKARTA,UDARA JKT
DKI20 Rusunawa Pesakih,-6.161974,106.716769,JAKARTA,UDARA JKT
DKI21 RPTRA Amir Hamzah,-6.2033,106.850242,JAKARTA,UDARA JKT
DKI22 RPTRA Cideng Kenangan,-6.167091,106.807505,JAKARTA,UDARA JKT
DKI23 RPTRA Harapan Mulia,-6.169828,106.855026,JAKARTA,UDARA JKT
DKI24 RPTRA Jaya Molek,-6.159806,106.830183,JAKARTA,UDARA JKT
DKI25 RPTRA Kebon Melati,-6.200209,106.814043,JAKARTA,UDARA JKT
DKI26 RPTRA Melati Duri Pulo,-6.163207,106.809255,JAKARTA,UDARA JKT
DKI27 SDN 01 Cempaka Putih Barat,-6.175124,106.863204,JAKARTA,UDARA JKT
DKI28 SDN 07 Paseban (ROOFTOP),-6.193423,106.85534,JAKARTA,UDARA JKT
DKI29 SDN 10 Johar Baru Pagi,-6.18121,106.860386,JAKARTA,UDARA JKT
DKI30 Taman Ismail Marzuki,-6.189948,106.839821,JAKARTA,UDARA JKT
DKI31 Jakarta Islamic Center (JIC),-6.123743,106.918003,JAKARTA,UDARA JKT
DKI32 Kantor Kelurahan Kapuk Muara,-6.137185,106.764126,JAKARTA,UDARA JKT
DKI33 Kantor Walikota Jakarta Utara (ROOFTOP),-6.120185,106.892505,JAKARTA,UDARA JKT
DKI34 RPTRA Gading Tarian,-6.171162,106.907712,JAKARTA,UDARA JKT
DKI35 RPTRA Penjaringan Indah,-6.134137,106.795785,JAKARTA,UDARA JKT
DKI36 RPTRA Pulobesar,-6.15562,106.880943,JAKARTA,UDARA JKT
DKI37 RPTRA Rawa Badak Utara,-6.117076,106.896598,JAKARTA,UDARA JKT
DKI38 RPTRA Rorotan Indah 2,-6.156868,106.955973,JAKARTA,UDARA JKT
DKI39 RPTRA Taman Pinus,-6.140051,106.917764,JAKARTA,UDARA JKT
DKI40 RPTRA Tipar Asri,-6.135652,106.920781,JAKARTA,UDARA JKT
DKI41 RSUD Tanjung Priok (ROOFTOP),-6.116135,106.888912,JAKARTA,UDARA JKT
DKI42 SDN 01 Sukapura,-6.150574,106.921919,JAKARTA,UDARA JKT
DKI43 SDN 07 Peganggsaan Dua,-6.175007,106.911456,JAKARTA,UDARA JKT
DKI44 SDN 12 Sunter Agung,-6.13938,106.86716,JAKARTA,UDARA JKT
DKI45 SMP 112 Teluk Gong (ROOFTOP),-6.135656,106.779261,JAKARTA,UDARA JKT
DKI46 Asrama Universitas Indonesia,-6.348009,106.829808,JAKARTA,UDARA JKT
DKI47 Kantor LLHD Jakarta Selatan (ROOFTOP),-6.225848,106.834948,JAKARTA,UDARA JKT
DKI48 Kantor SUDIN Jakarta Selatan (ROOFTOP),-6.272876,106.831279,JAKARTA,UDARA JKT
DKI49 RPTRA Anggrek Bintaro,-6.264257,106.770436,JAKARTA,UDARA JKT
DKI50 RPTRA Duren Tiga,-6.255385,106.842706,JAKARTA,UDARA JKT
DKI51 RPTRA Manunggal Petukangan Selatan,-6.243737,106.747235,JAKARTA,UDARA JKT
DKI52 RPTRA Mawar,-6.297187,106.770068,JAKARTA,UDARA JKT
DKI53 SDN 01 Manggarai,-6.212814,106.856324,JAKARTA,UDARA JKT
DKI54 SDN 02 Petukangan Selatan,-6.243553,106.760206,JAKARTA,UDARA JKT
DKI55 SDN 03 Kebayoran Lama Utara,-6.250298,106.776891,JAKARTA,UDARA JKT
DKI56 SDN 04 Bintaro,-6.270335,106.757735,JAKARTA,UDARA JKT
DKI57 SDN 11 Kalibata,-6.261587,106.842123,JAKARTA,UDARA JKT
DKI58 SDN 20 Pejaten Timur,-6.273756,106.850605,JAKARTA,UDARA JKT
